Place_Name,Description,Location,Adventure,Relax,Rural,Urban,Mountain,Historical,Food,Nature
Kiep Bac Temple,"Kiep Bac Temple (Hai Duong) is the place to worship Hung Dao Dai Vuong Tran Quoc Tuan, who had great contributions in the war against Nguyen. The temple is rich in historical and cultural value.",Hai Duong,0,1,0,0,0,1,0,0
Dong Ngo Quyen Market,Dong Ngo Quyen Market (Hai Phong) is a famous traditional market with a variety of products and bustling atmosphere. The market is a trading place for locals and tourists.,Hai Duong,0,0,0,1,0,0,1,0
Do Son,Do Son (Hai Phong) is a beautiful beach famous for its mountains and blue sea. This is a beach resort with water sports activities and relaxation under the sun.,Hai Phong,0,1,0,0,1,0,0,0
Cat Ba,Cat Ba (Hai Phong) is a famous island with beautiful beaches and diverse ecosystems. This place is an ideal destination for those who love eco-tourism and the sea.,Hai Phong,0,1,0,0,0,0,0,1
Ben Nghieng - Wharf K15,"Ben Nghieng (Bent K15) (Quang Ninh) is a famous port, associated with war history. This is one of the important historical sites of the North.",Hai Phong,0,0,0,0,0,1,0,0
Hon Dau Lighthouse,"Hon Dau Lighthouse (Hai Phong) is an ancient lighthouse, located on Hon Dau Island. This is one of the important lighthouses in the Gulf of Tonkin region.",Hai Phong,0,0,0,0,0,1,0,0
Hoang Van Thu Bridge,Hoang Van Thu Bridge (Hai Phong) is a vital bridge connecting areas in the city. The bridge stands out with its modern architecture and is the main tourist destination for tourists.,Hai Phong,0,0,0,1,0,0,0,0
Lung Ngoc Hoang tourist area,Lung Ngoc Hoang tourist area (Hau Giang) is an outstanding nature reserve with a mangrove ecosystem. This is an ideal destination for those who love eco-tourism and plant and animal research.,Hau Giang,0,0,0,0,0,0,0,1
Nga Bay floating market,Nga Bay floating market (Hau Giang) is one of the famous floating markets in the West. Visitors can experience shopping on the river and explore the unique floating market culture.,Hau Giang,0,0,0,1,0,0,1,0
Vinpearl Hau Giang amusement park,"Vinpearl Hau Giang Amusement Park is a modern entertainment area, with many attractive games for the whole family. This is an ideal destination for travelers looking for entertainment and relaxation.",Hau Giang,1,0,0,0,0,0,0,0
Tan Long stork garden,"Tan Long Stork Garden (Vinh Long) is an ecological conservation area, where thousands of storks live. Visitors can watch flocks of storks flying in a peaceful space.",Hau Giang,0,1,0,0,0,0,0,0
Cai Lon River,"Cai Lon River (Ca Mau) is a long river, flowing through the Western provinces. This place has a rich ecosystem and is an outstanding eco-tourism destination of the Mekong Delta.",Hau Giang,0,0,1,0,0,0,0,1
Thung Nai,"Thung Nai (Hoa Binh) is a famous tourist area with majestic natural scenery, including a large lake and surrounding mountains. This is an ideal place for tourists who love eco-tourism and participating in outdoor activities such as boating.",Hoa Binh,0,0,0,0,1,0,0,1
Mai Chau,"Mai Chau (Hoa Binh) is a beautiful valley, famous for its stilt houses and pristine natural scenery. Mai Chau attracts tourists because of its fresh air, plus the unique culture of the Thai ethnic people.",Hoa Binh,0,0,0,0,0,0,0,0
Silver Stone Cave,Da Bac Cave (Quang Ninh) is an outstanding natural cave with strange limestone blocks and mysterious beauty. Visitors can explore the stalactite system and unique rock formations in the quiet space of the cave.,Hoa Binh,1,1,0,0,0,0,0,0
Nine waterfalls Tu Son,Nine waterfalls Tu Son (Ha Giang) is a system of 9 large and small waterfalls located in the middle of pristine nature. This is an ideal destination for those who love to explore and learn about waterfalls amidst the mountains and forests.,Hoa Binh,0,0,0,1,1,0,0,1
Thac Bo Temple,"Thac Bo Temple (Hoa Binh) is a historical relic, worshiping female general Cao Thi Lich. The temple is located near Bo waterfall, has a mysterious scenery and is a sacred place, attracting tourists to visit and pray.",Hoa Binh,0,1,0,0,0,1,0,1
Pho Hien,"Pho Hien (Hung Yen) is a famous old town with historical architectural works. This is an attractive destination for tourists who want to learn about history, culture and enjoy local cuisine.",Hung Yen,0,0,0,0,0,1,1,0
Chuong Pagoda,"Chuong Pagoda (Hanoi) is an ancient temple with unique architecture, located in a spacious and peaceful campus. This is a famous pilgrimage site, attracting many Buddhists and tourists to visit.",Hung Yen,0,1,0,0,0,1,0,0
Long Thuong bronze casting village,Long Thuong bronze casting village (Hanoi) is famous for its long-standing traditional bronze casting craft. Visitors can visit the production process of handicraft copper products and learn about the history of the craft village.,Hung Yen,0,0,1,0,0,1,0,0
Phu Ung Temple,"Phu Ung Temple (Hung Yen) is a historical relic, worshiping Saint Phu Ung, who helped King Hung in the wars. The temple is located in a large campus, with a pure and sacred space.",Hung Yen,0,1,0,0,0,1,0,0
Nom village communal house,"Nom village communal house (Hung Yen) is a unique cultural relic, outstanding with traditional architecture and folk festival activities. This is a destination that attracts tourists to explore traditional cultural values.",Hung Yen,0,0,1,0,0,1,0,0
